Stock Number,Model Number,Additional Descriptions
1002681,DC-1450C," 
Got 4 or 5 machines, limited space, and a lot of dust? The compact DC-1450C is what you need. This 2 hp cyclone dust collector can pull 1,450 CFM.
 

*Takes 220-volt single-phase power, available at most shops.
*Robust 2 hp motor offers 1,450 CFM, enough suction for multiple machines at once.
*1 micron filter prevents small particles from escaping into your shop.
*The fine filter will purify your air so you can breathe easily.
*Simply turn a handle on the steel mesh container to eliminate filter buildup and keep the CFM suction going strong.
*Cyclone design can extract finer dust than a bag-style dust collector for even clearer, safer air conditions.
*28-gallon steel drum has a window on the side, so you can see how much dust you’ve collected.
*Dust collection drum is on wheels, helping you dump sawdust without spilling it.
*2 suction ports (6” x 4”) hook up to accommodate small central systems.
*Comes with a grounding screw|| just attach a copper wire and touch it to PVC hose to take away the charge.
*Remote-controlled start comes in handy when you need to turn on the dust collector from across the room.
*You can set the timer to turn off automatically after hours of use.
*Low noise levels let you have a conversation around the machine without straining.
*4 swiveling casters on the base make this a conveniently portable dust collector.
*It’s simple to assemble, usually taking 2 hours or less.
*Covered by a 1-year parts warranty.
*Includes lifetime technical support by phone from a team of reps with woodworking experience.

 
Recommended for: basement shops or mid-sized shops crowded with machines.
 
Questions? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1002685,DC-1650B,"This bag-style portable dust extractor produces 1,650 CFM of suction, enough to eliminate fine debris from 2 machines at once. The dust extraction system will keep your shop clean for an affordable price.

*Takes 220-volt single-phase power, available in most shops.
*30 micron filters on upper and lower bags will clear particles from the air so you can breathe safely and easily.
*All-steel ducting from the motor ensures a smooth flow of dust into the bag. There are no ridges for particles to catch on.
*2 ports (6” x 4”) allow you to connect 2 hoses and machines.
You could also connect a hose to 1 machine and use the other hose for vacuuming sawdust off the floor.
*4 locking swivel casters on the base let you move the portable dust extractor around, perfect for a garage shop situation.
*We back this portable dust extractor with a 1-year parts warranty.
*Includes lifetime technical support by phone. Call our team of experienced woodworkers whenever you have questions.

Recommended for: small to medium shops and technical schools.
Questions? Call us at 1-920-684-4990 with any questions you have about this dust extractor for sale."
1002687,DC-2100C," 
We designed the DC-2100C to be the best dust collector for heavy full-time shops. The 3 HP Cyclone Dust Collector will run 8+ hours a day, stay cooler than competing machines, and keep your shop clean.
 

*Mighty 3 hp motor runs on 220-volt single-phase power.
*Produces a whopping 2,111 CFM, more than twice as much capacity as our DC-1450C wood dust collector.
*Pulls enough airflow to overcome resistance caused by ducting.
*Efficient cyclone design doesn’t lose suction. This model is almost as powerful as our larger capacity bag-style DC-2300B.
*1 micron filter traps even the finest particles and purifies your air.
*Filter canister traps fine dust and ensures that it won't get back into the shop.
*Use the hand crank system to clean the filter canister. Dust will fall into a plastic bag for disposal.
*3 ports (8” x 4”) let you hook up multiple machines at once to the dust extractor.
*Comes with a grounding screw|| just attach a copper wire and touch it to PVC hose to take away the charge.
*Remote-controlled start and shutoff lets you manage the dust collector while working on another machine.
*63-gallon drum holds enough dust so that you don’t have to empty it too often.
*Quick-release lever allows the drum to slide right out for emptying.
*This cyclonic dust collector is so quiet you can have a conversation right next to it.
*Locking swivel casters on the base make this a portable dust collector.
*Covered by a 1-year parts warranty.
*Includes lifetime technical support by phone

 
Recommended for: large professional woodworking shops.
 
Call us at 1-920-684-4990 with any questions you have about this 3 HP dust collection system."
1002692,DC-2300B,"This bag-style dust collector system is strong enough to handle multiple machines at once, such as planers, sanders, and table saws. Get 2,300 CFM of suction 8 hours a day for a low price.

*3 hp motor runs on 220-volt single-phase power.
*This woodworking dust collector produces a robust 2,300 CFM. You can feel the machine pulling air towards it!
*For less than $200 more, the DC-2300B is well worth stepping up from our DC-1650B dust extractor if you need more force.
*Integrated all-steel ducting provides smooth airflow. No ridges to cause drag and dust buildup.
*30 micron filters on the upper and lower bags remove particles from the air to protect your lungs.
*To keep your shop pristine and remove even more dust, you can add an optional 1-micron filter canister to this bag dust collection system.
*2 large bags give you more volume, so you don’t have to empty them as frequently.
*3 dust ports (8” x 4” in size) let you hook up several hoses and machines at the same time.
*4 locking swivel casters, along with conveniently located handles, allow you to move the machine without difficulty.
*It takes just an hour to an hour and a half to set up this dust extraction system.
*Covered by a 1-year parts warranty.
*We provide lifetime technical support by phone. Call up our team of experienced reps whenever you need machine help.

Recommended for: full-time, single-shift shops, such as professional cabinetry shops.
Questions about these dust collector bags? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1002693,DC-600C,"This small cyclone dust collector packs a 1.5 hp motor and 600 CFM into its compact footprint. At 75 decibels, it’s so quiet you'll hardly notice it pulling all the dust out of your shop. 

*Runs on 110-volt power. Use it almost anywhere.
*1.5 hp motor produces 600 CFM of suction, quite a lot for a small unit.
*1 micron filter traps even superfine particles to purify your air and help protect your lungs.
*Although it pulls less CRM than most small bag-style machines, this cyclone is more efficient. It doesn’t lose suction through bags.
*Canister filter includes a flapper that you turn to shake light dust into an attached bag, preventing buildup.
*20 gallon drum collects heavier dust and debris.
*You can unlatch the drum and wheel it, keeping the mess inside the drum and decreasing the chance of spills.
*2 ports (4”) let you hook up multiple machines.
*Comes with a grounding screw|| just attach a copper wire and touch it to PVC hose to take away the charge.
*This portable dust collector can pull particles from more than one machine at once, unlike most bag-style units with similar capacity.
*4 swivel-locking casters on the base let you easily move the dust collector around your shop.
*Takes around 2 hours to get this dust extractor up and running.
*Covered by a 1-year parts warranty.
*We include lifetime technical support by phone. Call up our team of knowledgeable reps whenever you need help.

Recommended for: small to medium production shops that run machines a couple of hours a day.
Questions? Call us at 1-920-684-4990 with any questions you have about this small cyclone dust collector machine."
1002704,DDT-3519,"The DDT-3519 is perfect for the home shop or school environment||  this standalone down draft table will allow you to use your router or sander  without the worry of fine dust particles floating in the air.  This large 35” x 19” table is perfect for  those small projects that hand work is required.  Powered by a 110 volt ½ hp motor the DDT-3591 produces a whopping 1790 CFM, more than enough to take away all particles.   The air is filtered by two 5 micron filters  and there is a convenient removable catch tray to help trap all the larger particles.
 The top of the DDT-3591 down draft table has integrated rubber  grommets to help keep the in place during use.   There are also moveable stops for those more intricate projects.  The sides of the table also fold down for  longer pieces when needed.  Contact a representative for more information on this Baileigh downdraft table for sale."
1002705,DDT-5921,"For a little more capacity in a downdraft table, take a look at the DDT-5921.  This unique down draft table features a split sided design that incorporates (2) 110 volt ½ hp motors that produce 1790 CFM each.  This design ensures that you get maximum suction over the whole 59” x 21” table. To ensure clean air is returned to the environment the air is filtered by two 5 micron filters and there is a convenient removable catch tray to help trap all the larger particles.
To make sure that the material that you are working on doesn’t move, the top of the DDT-5921 down draft table has rubber grommets to help keep the wood in place.  There are also moveable stops for those more intricate projects.  The sides of the table also fold down for longer pieces when needed.  Contact a Baileigh Industrial representative for more information about this industrial downdraft table."
1002989,DP-15VSF,"The DP-15VSF is the ultimate woodworking drill press.  This belt driven variable speed drill press has a true 1 HP motor that runs off of 110 volts, but can be wired to run on 220 volt single phase should the need arise.  The availability of variable speed lets theMT2 spindle on the  DP-15VSF turn at any speed from 400 to 5000 rpm, perfect for the wood worker.  A digital readout helps determine the  operating speed. a 6” spindle stroke.
Built to last the DP-15VSF belt driven variable speed drill press has a large 3” diameter column that allows for 15 inches of swing. For  those larger projects it has a 14” x 18” table with 5/8” t-slots.  The table also incorporates a rack and pinion system for moving the table up and down.  A halogen work light and drill chuck round out this great variable speed drill press package. Order this 1 HP drill press online today."
1004162,ES-6108,"One of the best values on the market, this edge sander offers many of the same features as our large industrial ES-9138. A tilting table lets you miter edges without using a band saw.

*2 hp motor runs on 220-volt single-phase power.
*6” x 108” belt is big enough to tackle cabinets, furniture, and more.
*Belt head can tilt to run horizontally or vertically.
*Quick-change, easy-access belt system saves you time. It takes just 1 or 2 minutes to change the abrasive.
*Large gearbox powers 24 oscillations per minute, using the entire belt face to lengthen belt life.
*36” x 12” cast iron table, one of the largest in its class, will stay level and square through many years of sanding.
*Spring lift assist, controlled by a handwheel, allows you to lift the heavy table without exerting yourself.
*Table can tilt 45° positive and 5° negative, so you can easily miter material edges.
*Sturdy cast iron platen is covered with graphite for cooler running temperatures and extended belt life.
*Integrated steel stand prevents wobbling and keeps the sander true and accurate.
*Dual 4” dust collection ports make it simple to remove sawdust and keep your shop’s air safe and clean.
*Covered by a 1-year parts warranty.
*Replacement parts are in stock at our Wisconsin headquarters. We can ship them out to you without delay.
*We offer lifetime technical support by phone. Call us and speak directly with a customer service rep who has woodworking experience.

Questions? Not sure which wood sander is right for you? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1004164,ES-9138,"One of the largest oscillating edge sanders on the market, the ES-9138 lets you create smooth, well-fitted cabinets, doors, and flooring. The steel base and cast iron table ensure stability.

*Accepts 9” x 138.5” belts, a common size.
*Long, wide belt will last longer and run cooler than smaller belts.
*Belt turns 3,000 rpm.
*3 hp 220-volt single-phase motor powers the belt and runs the gearbox to control the oscillating action.
*24 oscillations per minute produce a smoother finish, use the entire belt face, and lengthen belt life.
*11¾” x 48” table can accommodate even the largest of pieces.
*Massive cast iron table gives you a true, level surface over many years of heavy production.
*Table tilts 45° positive and 5° negative, so you can easily miter edges.
*48” x 9½” cast iron platen is covered with graphite to maintain cool running temperatures and help belts last longer during for production sanding.
*Rigid steel stand supports even the heaviest load of material and maintains accuracy.
*Dual 4” dust collection ports make it simple to hook up a dust collector and keep your shop air clean.
*Covered by a 1-year parts warranty.
*We keep replacement parts in stock at our Wisconsin headquarters. Call us directly and we’ll ship the part to you quickly.
*Includes lifetime technical support by phone from Baileigh’s team of customer service reps with hands-on woodworking experience.

Questions? Not sure which wood sander is right for you? Call us at 1-920-684-4990 and talk to a Baileigh expert."
